citation_key,publisher_page,doi,metadata_verified,cited_claim,supporting_location,version,status
hamilton1989,JSTOR 1912559,10.2307/1912559,yes,Regime-switching framework; states are latent and inferred rather than observed,Whole paper; Section 1 sets up the two-state Markov model,published,verified
ledoit2004,ScienceDirect / ACM DL,10.1016/S0047-259X(03)00096-4,yes,Shrinkage estimator improves conditioning of covariance matrices in near-collinear settings,Abstract; well-conditioned estimator result,published,verified
patton2011,ScienceDirect,10.1016/j.jeconom.2010.03.034,yes,Volatility-forecast rankings distorted when noisy proxies are evaluated under inappropriate loss functions; QLIKE is robust,Abstract; robust loss function results,published,verified
diebold1995,JSTOR / Taylor & Francis,10.1080/07350015.1995.10524599,yes,Pairwise test of equal predictive accuracy between forecast losses,Whole paper,published,verified
politis1994,JSTOR / Taylor & Francis,10.1080/01621459.1994.10476870,yes,Stationary bootstrap for serially dependent data; geometric block lengths,Whole paper,published,verified
demiguel2009,Oxford Academic RFS 22(5),10.1093/rfs/hhm075,yes,14 models across 7 datasets; none consistently beats 1/N on Sharpe CEQ or turnover; estimation error offsets the theoretical gain,Abstract; results tables. Year 2009 is the print issue (RFS 22(5)); Crossref and OpenAlex record 2007 advance access. Print year retained,published,verified
harvey2016,Oxford Academic RFS 29(1),10.1093/rfs/hhv059,yes,316+ factors tested; conventional t>2.0 threshold inadequate under multiple testing,Abstract; significance-cutoff time series. Year 2016 is the print issue; Crossref records 2015 advance access. OpenAlex agrees with 2016,published,verified
jagannathan2003,Wiley JF 58(4) 1651-1683,10.1111/1540-6261.00580,yes,Constraints wrong as beliefs can still reduce estimation error and improve realized risk,Abstract; no-short-sale constraint results. CORRECTION: end page reverted 1684->1683. An earlier audit note claimed to correct 1683->1684; Wiley's Crossref deposit and OpenAlex both give 1683,published,verified
harvey2015,Portfolio Management Research JPM 42(1),10.3905/jpm.2015.42.1.013,yes,Sharpe-ratio haircut for number of trials is nonlinear; flat 50% rule is wrong,"Abstract and main results: haircut is nonlinear, highest Sharpe ratios only moderately penalized, marginal ones heavily penalized; the paper states the 50% rule of thumb is a serious mistake. Claim confirmed in the published JPM version (pm-research.com/content/iijpormgmt/42/1/13), not only the SSRN working paper",published,verified
ang2002,Oxford Academic RFS 15(4),10.1093/rfs/15.4.1137,yes,Regime shifts in international equity correlations and their allocation consequences,"Abstract: regime-switching model of US/UK/German equity returns; high-volatility regime with higher correlations and lower means; allocation consequences. Metadata confirmed by Crossref, OpenAlex, Semantic Scholar, Oxford, and the reference list of Ang-Timmermann (2012). EVALUATION DESIGN: the NBER w7056 precursor contains no out-of-sample exercise; the published 2002 version was not accessible, so its evaluation design is NOT characterized. The manuscript makes no claim about it",published,verified
guidolin2007,ScienceDirect JEDC 31(11),10.1016/j.jedc.2006.12.004,yes,Multivariate regime-switching allocation,"Abstract; Sections 7.3-7.4. EVALUATION DESIGN: explicitly out-of-sample. Section 7.3 'Out-of-sample performance' runs a 'pseudo' real-time asset allocation exercise for 1980:01-1999:12 (240 months) with parameters re-estimated recursively from an initial 1954:01-1980:01 window. Verified against the St. Louis Fed WP 2005-002C full text. The withdrawn in-sample characterization is NOT reinstated because it is contradicted by the paper",published,verified
ang2012,Annual Reviews AR Fin Econ 4,10.1146/annurev-financial-110311-101808,yes,Survey of regime changes in financial markets,"Confirmed a survey: Section 3 opens 'In this section we survey regime switching applications in finance'; Section 2 'We begin our review'. Verified against NBER w17182 full text. Journal is Annual Review of Financial Economics (Crossref); Semantic Scholar's 'Review of Financial Economics' is a truncation error",published,verified
bollerslev1986,ScienceDirect J Econometrics 31(3),10.1016/0304-4076(86)90063-1,yes,GARCH generalization of ARCH,Title and abstract; metadata matched Crossref and OpenAlex field by field,published,verified
engle1982,JSTOR 1912773,10.2307/1912773,yes,ARCH; conditional heteroskedasticity in inflation,Title and abstract. Pages 987-1007 confirmed via Semantic Scholar; Crossref and OpenAlex carry the start page only,published,verified
markowitz1952,Wiley JF 7(1),10.1111/j.1540-6261.1952.tb01525.x,yes,Mean-variance portfolio selection,Whole paper; metadata matched Crossref field by field,published,verified
michaud1989,CFA Institute FAJ 45(1),10.2469/faj.v45.n1.31,yes,Sample mean-variance optimization performs poorly out of sample; error maximization,"Abstract and main argument: MV optimizers characterized as 'estimation-error maximizers'; unconstrained MV optimization can be inferior to equal weighting. Characterization confirmed accurate",published,verified
