literal,occurrences,classification,result_id,macro,raw_value,display_value,unit,source_artifact,note
0,3,equation_constant,,,,,,,"Null value in H0 (SR difference <= 0) and the zero-cost column heading; not a measurement"
1,13,equation_constant,,,,,,,"Day-of-month in dates; execution lag t+1 and t+2 subscripts; the 1 in the multiplicative net-return identity"
2,4,equation_constant,,,,,,,"DGS2 series name; t+2 subscript; squared exponents in the n_eff definition"
4,1,sample_or_date,,,,,,,"4 January 2010, the first execution date"
5,3,methodological_assumption,,,,,,,"5% degeneracy occupancy floor; 5% significance level; HAC lag of 5 in the sensitivity set"
6,2,sample_or_date,,,,,,,"6 August 2026, the frozen sample end date"
10,7,methodological_assumption,,,,,,,"Primary transaction-cost assumption of 10 bps; DGS10 series name; 10-day mean block in the sensitivity set"
18,2,sample_or_date,,,,,,,"18 November 2004, GLD inception and the sample start"
20,2,methodological_assumption,,,,,,,"Highest cost level in the preregistered cost ladder (20 bps)"
21,4,methodological_assumption,,,,,,,"21-day realized-volatility feature; H = 21 holding period; primary mean block length; primary HAC lag"
30,5,methodological_assumption,,,,,,,"30% weight cap specification; shrinkage threshold kappa = 30"
31,1,sample_or_date,,,,,,,"31 December 2009, the end of the initial training window"
40,7,methodological_assumption,,,,,,,"Primary 40% per-asset weight cap; the 60/40 benchmark"
42,3,methodological_assumption,,,,,,,"Lowest HMM initialization seed; 42-day mean block and HAC lag in the sensitivity sets"
57,1,methodological_assumption,,,,,,,"Highest HMM initialization seed (42--57)"
60,6,methodological_assumption,,,,,,,"60/40 benchmark weights; the +60 constant in the shrinkage weight n_eff/(n_eff+60)"
63,2,methodological_assumption,,,,,,,"63-day rolling historical variance forecast; 63-day mean block in the sensitivity set"
95,6,methodological_assumption,,,,,,,"95% confidence level for every interval reported"
100,1,methodological_assumption,,,,,,,"Amendment A4: every strategy begins from 100% cash at the first execution"
120,1,methodological_assumption,,,,,,,"Shrinkage threshold kappa = 120"
199,1,sample_or_date,,,,,,,"Consecutive-refit transitions; determined by the 200 origins, not estimated"
200,5,sample_or_date,,,,,,,"Preregistered count of monthly rebalancing origins from the 2009-12-31 sample split"
252,1,equation_constant,,,,,,,"Trading days per year in the sqrt(252) annualization factor"
256,1,equation_constant,,,,,,,"Part of the algorithm name SHA-256"
0.94,1,methodological_assumption,,,,,,,"EWMA decay parameter lambda, fixed ex ante"
2004,2,sample_or_date,,,,,,,"Sample start year"
2007,1,sample_or_date,,,,,,,"January 2007 exchange closure (day of mourning for President Ford)"
2009,2,sample_or_date,,,,,,,"End of the initial training window"
2010,5,sample_or_date,,,,,,,"Out-of-sample start year"
2012,1,sample_or_date,,,,,,,"October 2012 exchange closure (Hurricane Sandy)"
2020,4,sample_or_date,,,,,,,"Subperiod split year for the pre-2020 and post-2020 slices"
2022,1,sample_or_date,,,,,,,"Label for the 2022 tightening slice"
2026,6,sample_or_date,,,,,,,"Sample end year"
12345,1,methodological_assumption,,,,,,,"Bootstrap seed, fixed in the preregistered plan"
"5{,}462",1,sample_or_date,,,,,,,"Trading days in the frozen snapshot"
"10{,}000",1,methodological_assumption,,,,,,,"Preregistered number of stationary-bootstrap replications"
word:one,15,equation_constant,,,,,,,"Determiner or ordinal usage (one day of exposure, one ingredient, one rung, traded notional of one); no measured quantity"
word:six,3,methodological_assumption,,,,,,,"Six strategies in the preregistered ablation ladder"
word:two,6,methodological_assumption,,,,,,,"Two-state model; two responsive rungs; two calendar gaps in the sample audit; two features of the robustness evidence"
word:five,7,methodological_assumption,,,,,,,"Five-ETF universe; five-day maximum forward-fill"
word:four,8,methodological_assumption,,,,,,,"Four macro series; four HMM features; four covariance steps; four dated amendments; four-day calendar-gap threshold"
word:zero,17,equation_constant,,,,,,,"The null value against which differences and intervals are described"
word:seven,1,literature_fact,,,,,,,"DeMiguel, Garlappi and Uppal (2009) evaluate models across seven datasets"
word:three,8,methodological_assumption,,,,,,,"Three volatility forecasts; three literature strands; three amendments adopted pre-returns; three findings enumerated"
word:fifteen,1,methodological_assumption,,,,,,,"Fifteen pairwise forecast comparisons (5 assets x 3 estimator pairs), fixed by design"
word:sixteen,1,methodological_assumption,,,,,,,"Sixteen predetermined HMM initializations per refit"
word:fourteen,2,literature_fact,,,,,,,"DeMiguel, Garlappi and Uppal (2009) evaluate fourteen portfolio models"
word:thirteen,6,methodological_assumption,,,,,,,"Thirteen preregistered robustness specifications"
